amfi_code,var_95,cvar_95,observations,scheme_name,fund_house,category,plan,risk_grade
101207,-0.02391462085614526,-0.03028853855689586,1607,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,Very High
119095,-0.02328360266362247,-0.029690039727417208,1607,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,Very High
119599,-0.02315543346345327,-0.030162858545493422,1607,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,Very High
118634,-0.022809809042508043,-0.029939618949017758,1607,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,Very High
149324,-0.02152030425318905,-0.02857253167644592,1607,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,Very High
119598,-0.021501921496768977,-0.028444271406010857,1607,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,Very High
119094,-0.016996541912790986,-0.022374528784811144,1607,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,High
120842,-0.016949938922196216,-0.02125068794917235,1607,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,High
100033,-0.01690162517076692,-0.021849843397164254,1607,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,High
102886,-0.016857052171303167,-0.02177063382107187,1607,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,High
125498,-0.01676236356598184,-0.021483832175150833,1607,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,High
120505,-0.016224087303417265,-0.022363198028897975,1607,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,High
149323,-0.015865984799217414,-0.0209026576862566,1607,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,High
148569,-0.015259046371143082,-0.019851510510311667,1607,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,High
102887,-0.013743344236293054,-0.017963512958246095,1607,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,Moderately High
120843,-0.013327485173211561,-0.01711410215389912,1607,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,Moderately High
148568,-0.01331269515511313,-0.017383918582139044,1607,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,Moderately High
120506,-0.013005352264566304,-0.017792496196296158,1607,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,Moderately High
149322,-0.012955446642516754,-0.016995172112929814,1607,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,Moderate
100016,-0.012883548931908694,-0.016768321461436163,1607,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,Moderate
119092,-0.012692876487327587,-0.016166151944503535,1607,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,Moderate
148567,-0.012607396741943243,-0.016343197522742478,1607,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,Moderate
119093,-0.01258785333198682,-0.016331690102985696,1607,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,Moderate
120504,-0.012531255294818832,-0.016225606809666344,1607,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,Moderate
125497,-0.01250186045702889,-0.01696448520682221,1607,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,Moderate
118632,-0.012333469077205582,-0.01632772507032638,1607,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,Moderate
101206,-0.012173429806863612,-0.01607512058946511,1607,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,Moderate
120503,-0.012133236715948303,-0.016099692653253457,1607,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,Moderate
119552,-0.012129038937142643,-0.016078207856022268,1607,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,Moderate
118633,-0.01206568147523046,-0.015542096862478805,1607,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,Moderate
119551,-0.011826841635318986,-0.015229577496502082,1607,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,Moderate
120841,-0.011724966759344823,-0.015248574925611378,1607,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,Moderate
102885,-0.011047180236723242,-0.014381301038700011,1607,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,Moderate
118635,-0.01103346672270995,-0.014938288639839212,1607,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,Moderate
119120,-0.003428846226904114,-0.004618214851480345,1607,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,Low
118636,-0.0033443895621997673,-0.004540687118852717,1607,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,Low
100025,-0.003337613149587215,-0.004580656507363616,1607,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,Low
101208,-0.00021844467202030148,-0.000370888261084244,1607,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,Low
120844,-0.0002038147642592136,-0.0003620891285341904,1607,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,Low
120507,-0.00019572938739494946,-0.00032535262562039257,1607,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,Low
